#     Num.     of     WP                    
     770                              
#     ID     WP_x[m]     WP_y[m]     Velocity[m/s]     CUT_Flag[1:down:2:up]     area_type     gain_id
#     真中のレーン                              
     1     -46446.4333     -14695.9133     0     0     0     0
     2     -46448.4934     -14695.5526     1.1286     1     0     0
     3     -46450.6787     -14694.9668     1.7212     0     0     0
     4     -46452.9662     -14694.3661     1.9571     0     0     0
     5     -46455.0298     -14693.9161     2.1624     0     0     0
     6     -46457.1281     -14693.464     2.1525     0     0     0
     7     -46459.1794     -14693.0253     2.1299     0     0     0
     8     -46461.18     -14692.5877     2.0527     0     0     0
     9     -46463.4749     -14692.121     1.9202     0     0     0
     10     -46465.5426     -14691.6812     1.5194     0     0     0
     11     -46467.775     -14691.1862     1.9312     0     0     0
     12     -46470.1017     -14690.7622     2.2161     0     0     0
     13     -46472.1945     -14690.4311     2.0872     0     0     0
     14     -46474.2757     -14690.1374     2.1202     0     0     0
     15     -46476.3154     -14689.8625     1.9678     0     0     0
     16     -46478.3613     -14689.5249     2.0498     0     0     0
     17     -46480.3785     -14689.1232     2.1087     0     0     0
     18     -46482.4435     -14688.7713     2.0176     0     0     0
     19     -46484.4442     -14688.451     2.0433     0     0     0
     20     -46486.4644     -14688.171     1.4629     0     0     0
     21     -46488.6421     -14687.7269     1.8754     0     0     0
     22     -46490.793     -14687.3544     1.6995     0     0     0
     23     -46492.7631     -14686.954     1.6191     0     0     0
     24     -46494.9439     -14686.6347     1     0     0     0
     25     -46497.0219     -14686.1924     0.7     2     0     0
                                   
#     １回目の切り返し（左奥）                              
     26     -46498.1826     -14685.9047     0.4     0     0     1
     27     -46496.0289     -14686.1788     -0.5     0     0     1
     28     -46493.9576     -14685.7311     -0.9976     0     0     1
     29     -46493.7806     -14685.6641     -0.5651     0     0     1
     30     -46495.6086     -14686.9753     0.5     0     0     1
     31     -46496.1347     -14689.1902     0.5     0     0     1
     32     -46495.1844     -14690.9749     0.4     0     0     1
     33     -46495.2875     -14690.8818     -0.507     0     0     1
     34     -46496.5056     -14689.0837     -0.8716     0     0     1
     35     -46497.7616     -14687.4908     -0.3294     0     0     1
     36     -46497.6738     -14687.5654     0.3045     0     0     1
     37     -46495.8157     -14688.4391     0.3037     0     0     1
     38     -46493.7173     -14688.8107     0.5     1     0     1
                                   
#     １本目のレーン（左）                              
     39     -46491.3857     -14689.1339     0.5     0     0     0
     40     -46489.199     -14689.4805     1.9053     0     0     0
     41     -46487.1898     -14689.9017     1.6956     0     0     0
     42     -46485.1741     -14690.2164     1.1247     0     0     0
     43     -46483.0189     -14690.8596     1.799     0     0     0
     44     -46480.6763     -14691.3792     2.2202     0     0     0
     45     -46478.5348     -14691.747     2.2069     0     0     0
     46     -46476.3916     -14692.11     2.1384     0     0     0
     47     -46474.2216     -14692.4791     2.1342     0     0     0
     48     -46472.043     -14692.8558     2.23     0     0     0
     49     -46469.885     -14693.2581     2.1346     0     0     0
     50     -46467.8768     -14693.6539     1.9269     0     0     0
     51     -46465.7115     -14694.1395     1.6344     0     0     0
     52     -46463.3331     -14694.6127     2.1595     0     0     0
     53     -46461.2193     -14694.9894     2.2518     0     0     0
     54     -46459.0697     -14695.4445     2.2813     0     0     0
     55     -46456.9344     -14695.9339     2.1664     0     0     0
     56     -46454.8375     -14696.3957     2.1216     0     0     0
     57     -46452.7549     -14696.9264     2.2654     0     0     0
     58     -46450.7428     -14697.3324     2.2189     0     0     0
     59     -46448.7727     -14697.8208     1.9836     0     0     0
     60     -46446.7063     -14698.3073     1     0     0     0
     61     -46444.4456     -14698.7746     0.7     2     0     0
                                   
#     ２回目の切り返し（左手前）                              
     62     -46442.517     -14699.6567     0.5     0     0     1
     63     -46441.2518     -14701.3317     0.5     0     0     1
     64     -46441.0854     -14701.9909     0.4     0     0     1
     65     -46441.291     -14699.8711     -0.4     0     0     1
     66     -46441.2037     -14698.3604     -0.73     0     0     1
     67     -46441.9315     -14700.335     0.4     0     0     1
     68     -46443.7121     -14701.2376     0.4     0     0     1
#     69     -46445.696     -14700.711     0.7531     0     0     1
#     70     -46445.9606     -14700.6167     0.3816     0     0     1
     71     -46445.2049     -14700.8163     0.2664     1     0     1
                                   
#     ２回本目のレーン（左）                              
     72     -46447.1709     -14700.4348     0.5     0     0     0
     73     -46449.4503     -14699.9771     1.8622     0     0     0
     74     -46451.6745     -14699.3815     1.9168     0     0     0
     75     -46453.6253     -14698.9274     1.9694     0     0     0
     76     -46455.6023     -14698.5354     2.0925     0     0     0
     77     -46457.6328     -14698.1407     2.093     0     0     0
     78     -46459.6576     -14697.7379     2.0664     0     0     0
     79     -46461.7123     -14697.3018     1.9778     0     0     0
     80     -46463.7587     -14696.8791     2.1479     0     0     0
     81     -46465.815     -14696.4154     2.1189     0     0     0
     82     -46467.8398     -14695.979     2.0428     0     0     0
     83     -46469.9312     -14695.5816     2.1151     0     0     0
     84     -46472.0409     -14695.1432     2.067     0     0     0
     85     -46474.1886     -14694.75     2.1837     0     0     0
     86     -46476.2621     -14694.3313     2.1558     0     0     0
     87     -46478.3225     -14693.9465     2.0447     0     0     0
     88     -46480.3929     -14693.5503     2.2359     0     0     0
     89     -46482.5518     -14693.1538     2.2671     0     0     0
     90     -46484.7881     -14692.675     2.3848     0     0     0
     91     -46486.8255     -14692.2379     2.0181     0     0     0
     92     -46488.8788     -14692.0499     1.6708     0     0     0
     93     -46490.8566     -14691.5355     1.9182     0     0     0
     94     -46493.0798     -14691.2528     1.9069     0     0     0
     95     -46495.2797     -14690.8496     1     0     0     0
     96     -46497.2857     -14690.4814     0.7     2     0     0
                                   
#####     ３回目の切り返し（左奥）     #####                         
     97     -46499.3391     -14690.2473     0.4     0     0     1
     98     -46499.3149     -14690.2496     -0.4     0     0     1
     99     -46497.1499     -14690.2662     -1.2321     0     0     1
     100     -46495.1676     -14689.6995     -1.1281     0     0     1
     101     -46494.3312     -14689.1093     -0.4     0     0     1
     102     -46495.4983     -14690.9139     0.4     0     0     1
     103     -46495.3601     -14693.0076     0.5     0     0     1
     104     -46493.9607     -14694.4631     0.2917     0     0     1
     105     -46494.1602     -14694.3384     -0.4     0     0     1
     106     -46495.9766     -14693.1041     -1.0108     0     0     1
     107     -46497.8466     -14692.0752     -0.857     0     0     1
     108     -46497.9812     -14692.0195     -0.4     0     0     1
     109     -46495.9115     -14692.6503     0.4     0     0     1
     110     -46493.8302     -14693.1691     0.5     1     0     1
                                   
#####     ３回本目のレーン（左）     #####                         
     111     -46491.8167     -14693.5919     0.5     0     0     0
     112     -46489.8126     -14693.916     1.7731     0     0     0
     113     -46487.4392     -14694.5301     2.396     0     0     0
     114     -46485.3698     -14694.8709     1.7325     0     0     0
     115     -46483.3744     -14695.3122     2.137     0     0     0
     116     -46481.1931     -14695.7266     2.3898     0     0     0
     117     -46478.9163     -14696.1706     2.3958     0     0     0
     118     -46476.6581     -14696.6217     2.3146     0     0     0
     119     -46474.4316     -14697.0626     2.2858     0     0     0
     120     -46472.2682     -14697.5085     2.1706     0     0     0
     121     -46470.0537     -14697.9531     2.1456     0     0     0
     122     -46467.828     -14698.4245     2.2639     0     0     0
     123     -46465.626     -14698.8654     2.1608     0     0     0
     124     -46463.39     -14699.2963     2.1535     0     0     0
     125     -46461.1943     -14699.7489     2.2217     0     0     0
     126     -46459.0232     -14700.2084     2.1805     0     0     0
     127     -46456.8502     -14700.6897     2.3569     0     0     0
     128     -46454.6752     -14701.2252     2.3838     0     0     0
     129     -46452.5428     -14701.7512     2.2685     0     0     0
     130     -46450.3257     -14702.1301     2.1988     0     0     0
     131     -46448.2377     -14702.6476     2.068     0     0     0
     132     -46446.2062     -14703.16     1.8629     0     0     0
     133     -46444.1098     -14703.6188     1     0     0     0
     134     -46442.0858     -14704.01     0.7     0     0     0
     135     -46440.0644     -14704.672     0.5     2     0     0
                                   
#####     ４回目の切り返し（左手前）     #####                         
     136     -46438.6258     -14706.1125     0.5     0     0     1
     137     -46438.3147     -14708.3263     0.5     0     0     1
     138     -46438.3691     -14708.5825     0.4     0     0     1
     139     -46437.5641     -14706.6426     -0.4     0     0     1
     140     -46436.772     -14705.5857     -0.4996     0     0     1
     141     -46438.4575     -14706.768     0.4     0     0     1
     142     -46440.5814     -14706.72     0.4     0     0     1
     143     -46442.7263     -14706.1424     0.5     1     0     1
                                   
#####     ４回本目のレーン（左）     #####                         
     144     -46445.0431     -14705.579     1.9526     0     0     0
     145     -46447.0393     -14705.099     2.0716     0     0     0
     146     -46449.1505     -14704.6468     2.1388     0     0     0
     147     -46451.8034     -14704.1048     2.2553     0     0     0
     148     -46453.9311     -14703.6373     2.1313     0     0     0
     149     -46456.0604     -14703.1986     2.153     0     0     0
     150     -46458.1709     -14702.7431     2.1436     0     0     0
     151     -46460.3558     -14702.2818     2.2603     0     0     0
     152     -46462.4982     -14701.8596     2.1193     0     0     0
     153     -46464.6716     -14701.4277     2.0605     0     0     0
