#     Start     Position                         
#     -46466.4889     -14705.1693     1.1521                    
#     Num.     of     WP                    
     45                              
#     ID     WP_x[m]     WP_y[m]     Velocity[m/s]     CUT_Flag[1:down:2:up]     area_type     gain_id
     1     -46466.4889     -14705.1693     0     0     0     0
     2     -46463.7999     -14699.5063     1     1     0     0
     3     -46459.3825     -14689.9411     1     2     0     0
#     Circle                              
                                   
     4     -46459.1494     -14689.1911     1     0     0     1
     5     -46459.1062     -14688.6936     1     0     0     1
     6     -46459.146     -14688.1958     1     0     0     1
     7     -46459.268     -14687.7115     1     0     0     1
     8     -46459.4685     -14687.2541     1     0     0     1
     9     -46459.7422     -14686.8363     1     0     0     1
     10     -46460.0814     -14686.4697     1     0     0     1
     11     -46460.4767     -14686.1645     1     0     0     1
     12     -46460.9171     -14685.9291     1     0     0     1
     13     -46461.3905     -14685.77     1     0     0     1
     14     -46461.8838     -14685.6917     1     0     0     1
     15     -46462.3832     -14685.6962     1     0     0     1
     16     -46462.8749     -14685.7836     1     0     0     1
     17     -46463.3453     -14685.9513     1     0     0     1
     18     -46463.7814     -14686.1947     1     0     0     1
     19     -46464.171     -14686.5071     1     0     0     1
     20     -46464.5035     -14686.8799     1     0     0     1
     21     -46464.7695     -14687.3026     1     0     0     1
     22     -46464.9616     -14687.7635     1     0     0     1
     23     -46465.0747     -14688.25     1     0     0     1
     24     -46465.1054     -14688.7485     1     0     0     1
     25     -46465.0531     -14689.2451     1     0     0     1
     26     -46464.9191     -14689.7262     1     0     0     1
     27     -46464.7071     -14690.1784     1     0     0     1
     28     -46464.423     -14690.5892     1     0     0     1
     29     -46464.0748     -14690.9472     1     0     0     1
     30     -46463.6719     -14691.2424     1     0     0     1
     31     -46463.2257     -14691.4667     1     0     0     1
     32     -46462.7485     -14691.6138     1     0     0     1
     33     -46462.2534     -14691.6798     1     0     0     1
     34     -46461.9041     -14691.6766     1     0     0     1
     35     -46461.4103     -14691.6016     1     0     0     1
     36     -46460.9358     -14691.4457     1     0     0     1
     37     -46460.4938     -14691.2133     1     0     0     1
     38     -46460.0964     -14690.9108     1     0     0     1
     39     -46459.7548     -14690.5465     1     0     0     1
     40     -46459.4783     -14690.1306     1     0     0     1
     41     -46459.2746     -14689.6746     1     0     0     1
                                   
     42     -46456.9405     -14684.1017     1     0     0     0
#     Backward                              
     43     -46459.3825     -14689.9411     -1     0     0     0
     44     -46463.7999     -14699.5063     -1     0     0     0
     45     -46466.4889     -14705.1693     -1     0     0     0
