#     Start     Position                         
#     -46466.4889     -14705.1693     1.1521                    
#     Num.     of     WP                    
     70                             
#     ID     WP_x[m]     WP_y[m]     Velocity[m/s]     CUT_Flag[1:down:2:up]     area_type     gain_id
     1     -46466.4889     -14705.1693     0     0     0     0
     2     -46463.7999     -14699.5063     1     1     0     0
     3     -46459.3825     -14689.9411     1     2     0     0
#     Circle                              
                                   
     4     -46459.1503     -14689.3388     1     0     0     1
     5     -46459.025     -14688.8549     1     0     0     1
     6     -46458.9486     -14688.361     1     0     0     1
     7     -46458.9219     -14687.8619     1     0     0     1
     8     -46458.9452     -14687.3627     1     0     0     1
     9     -46459.0182     -14686.8682     1     0     0     1
     10     -46459.1402     -14686.3836     1     0     0     1
     11     -46459.31     -14685.9135     1     0     0     1
     12     -46459.5259     -14685.4627     1     0     0     1
     13     -46459.7857     -14685.0358     1     0     0     1
     14     -46460.0868     -14684.6369     1     0     0     1
     15     -46460.4262     -14684.27     1     0     0     1
     16     -46460.8006     -14683.9389     1     0     0     1
     17     -46461.2061     -14683.6468     1     0     0     1
     18     -46461.6388     -14683.3966     1     0     0     1
     19     -46462.0943     -14683.1909     1     0     0     1
     20     -46462.5681     -14683.0317     1     0     0     1
     21     -46463.0554     -14682.9206     1     0     0     1
     22     -46463.5513     -14682.8587     1     0     0     1
     23     -46464.0509     -14682.8466     1     0     0     1
     24     -46464.5493     -14682.8845     1     0     0     1
     25     -46465.0414     -14682.9719     1     0     0     1
     26     -46465.5223     -14683.108     1     0     0     1
     27     -46465.9872     -14683.2914     1     0     0     1
     28     -46466.4315     -14683.5204     1     0     0     1
     29     -46466.8507     -14683.7925     1     0     0     1
     30     -46467.2406     -14684.1051     1     0     0     1
     31     -46467.5974     -14684.4551     1     0     0     1
     32     -46467.9174     -14684.839     1     0     0     1
     33     -46468.1976     -14685.2529     1     0     0     1
     34     -46468.435     -14685.6927     1     0     0     1
     35     -46468.6273     -14686.154     1     0     0     1
     36     -46468.7726     -14686.6322     1     0     0     1
     37     -46468.8694     -14687.1226     1     0     0     1
     38     -46468.9168     -14687.6201     1     0     0     1
     39     -46468.9143     -14688.1199     1     0     0     1
     40     -46468.8619     -14688.6169     1     0     0     1
     41     -46468.7602     -14689.1063     1     0     0     1
     42     -46468.6101     -14689.583     1     0     0     1
     43     -46468.4132     -14690.0423     1     0     0     1
     44     -46468.1714     -14690.4797     1     0     0     1
     45     -46467.8871     -14690.8908     1     0     0     1
     46     -46467.5632     -14691.2715     1     0     0     1
     47     -46467.2029     -14691.6179     1     0     0     1
     48     -46466.8099     -14691.9266     1     0     0     1
     49     -46466.388     -14692.1945     1     0     0     1
     50     -46465.9414     -14692.419     1     0     0     1
     51     -46465.4747     -14692.5977     1     0     0     1
     52     -46464.9925     -14692.729     1     0     0     1
     53     -46464.4995     -14692.8115     1     0     0     1
     54     -46464.0008     -14692.8443     1     0     0     1
                           
     55     -46463.5851     -14692.8336     1     0     0     1
     56     -46463.0888     -14692.7751     1     0     0     1
     57     -46462.6008     -14692.6673     1     0     0     1
     58     -46462.1259     -14692.5113     1     0     0     1
     59     -46461.6691     -14692.3087     1     0     0     1
     60     -46461.2347     -14692.0614     1     0     0     1
     61     -46460.8272     -14691.7721     1     0     0     1
     62     -46460.4506     -14691.4435     1     0     0     1
     63     -46460.1086     -14691.079     1     0     0     1
     64     -46459.8048     -14690.6821     1     0     0     1
     65     -46459.5421     -14690.257     1     0     0     1
     66     -46459.3232     -14689.8077     1     0     0     1
                                   
     67     -46456.9405     -14684.1017     1     0     0     0
#     Backward                              
     68     -46459.3825     -14689.9411     -1     0     0     0
     69     -46463.7999     -14699.5063     -1     0     0     0
     70     -46466.4889     -14705.1693     -1     0     0     0
