#     Start     Position                         
#     -46466.4889     -14705.1693     1.1521 
#     Num.     of     WP                    
	131
#     ID     WP_x[m]     WP_y[m]     Velocity[m/s]     CUT_Flag[1:down:2:up]     area_type     gain_id
     1     -46466.4889     -14705.1693     0     0     0     0
     2	   -46466.2744     -14704.7176     0.3	 0     0     0
     3	   -46466.06	   -14704.266      0.5     0     0     0
     4     -46465.8455     -14703.8143     0.7     0     0     0
     5     -46465.631      -14703.3626     1     0     0     0
     6     -46465.4166     -14702.911      1     0     0     0
     7     -46465.2021     -14702.4593     1     0     0     0
     8     -46464.9876     -14702.0076     1     0     0     0
     9     -46464.7732     -14701.556      1     0     0     0
     10    -46464.5587     -14701.1043     1     0     0     0
     11    -46464.3442     -14700.6526     1     0     0     0
     12    -46464.1297     -14700.201      1     0     0     0
     13    -46463.9153     -14699.7493     1     0     0     0
     14    -46463.7055     -14699.2954     1     1     0     0
     15    -46463.4958     -14698.8415      1     0     0     0
     16    -46463.2860     -14698.3877     1     0     0     0
     17    -46463.0763     -14697.9338     1     0     0     0
     18    -46462.8665     -14697.4799      1     0     0     0
     19    -46462.6568     -14697.0260     1     0     0     0
     20    -46462.4470      -14696.5722     1     0     0     0
     21    -46462.2372     -14696.1183      1     0     0     0
     22    -46462.0275     -14695.6644     1     0     0     0
     23    -46461.8177     -14695.2105     1     0     0     0
     24    -46461.6080     -14694.7567      1     0     0     0
     25    -46461.3982     -14694.3028     1     0     0     0
     26    -46461.1885     -14693.8489     1     0     0     0
     27    -46460.9787     -14693.3950     1     0     0     0
     28    -46460.7690     -14692.9412     1     0     0     0
     29    -46460.5592     -14692.4873     1     0     0     0
     30    -46460.3494     -14692.0334     1     0     0     0
     31    -46460.1397     -14691.5795     1     0     0     0
     32    -46459.9299     -14691.1257     1     0     0     0
     33    -46459.7202     -14690.6718     1     0     0     0
     34    -46459.5104     -14690.2179     1     0     0     0  
     35     -46459.3825     -14689.9411     1     2     0     0
#     Circle
     36     -46459.1494     -14689.1911     1     0     0     1
     37     -46459.1062     -14688.6936     1     0     0     1
     38     -46459.146     -14688.1958     1     0     0     1
     39     -46459.268     -14687.7115     1     0     0     1
     40     -46459.4685     -14687.2541     1     0     0     1
     41     -46459.7422     -14686.8363     1     0     0     1
     42     -46460.0814     -14686.4697     1     0     0     1
     43     -46460.4767     -14686.1645     1     0     0     1
     44     -46460.9171     -14685.9291     1     0     0     1
     45     -46461.3905     -14685.77     1     0     0     1
     46     -46461.8838     -14685.6917     1     0     0     1
     47     -46462.3832     -14685.6962     1     0     0     1
     48     -46462.8749     -14685.7836     1     0     0     1
     49     -46463.3453     -14685.9513     1     0     0     1
     50     -46463.7814     -14686.1947     1     0     0     1
     51     -46464.171     -14686.5071     1     0     0     1
     52     -46464.5035     -14686.8799     1     0     0     1
     53     -46464.7695     -14687.3026     1     0     0     1
     54     -46464.9616     -14687.7635     1     0     0     1
     55     -46465.0747     -14688.25     1     0     0     1
     56     -46465.1054     -14688.7485     1     0     0     1
     57     -46465.0531     -14689.2451     1     0     0     1
     58     -46464.9191     -14689.7262     1     0     0     1
     59     -46464.7071     -14690.1784     1     0     0     1
     60     -46464.423     -14690.5892     1     0     0     1
     61     -46464.0748     -14690.9472     1     0     0     1
     62     -46463.6719     -14691.2424     1     0     0     1
     63     -46463.2257     -14691.4667     1     0     0     1
     64     -46462.7485     -14691.6138     1     0     0     1
     65     -46462.2534     -14691.6798     1     0     0     1
