#     Start     Position                         
#     -46466.4889     -14705.1693     1.1521                    
#     Num.     of     WP                    
     143                              
#     ID     WP_x[m]     WP_y[m]     Velocity[m/s]     CUT_Flag[1:down:2:up]     area_type     gain_id
     1     -46466.4889     -14705.1693     0     0     0     0
     2	   -46466.2744     -14704.7176     0.3	 0     0     0
     3	   -46466.06	   -14704.266      0.5     0     0     0
     4     -46465.8455     -14703.8143     0.7     0     0     0
     5     -46465.631      -14703.3626     1     0     0     0
     6     -46465.4166     -14702.911      1     0     0     0
     7     -46465.2021     -14702.4593     1     0     0     0
     8     -46464.9876     -14702.0076     1     0     0     0
     9     -46464.7732     -14701.556      1     0     0     0
     10    -46464.5587     -14701.1043     1     0     0     0
     11    -46464.3442     -14700.6526     1     0     0     0
     12    -46464.1297     -14700.201      1     0     0     0
     13    -46463.9153     -14699.7493     1     0     0     0
     14    -46463.7055     -14699.2954     1     1     0     0
     15    -46463.4958     -14698.8415      1     0     0     0
     16    -46463.2860     -14698.3877     1     0     0     0
     17    -46463.0763     -14697.9338     1     0     0     0
     18    -46462.8665     -14697.4799      1     0     0     0
     19    -46462.6568     -14697.0260     1     0     0     0
     20    -46462.4470      -14696.5722     1     0     0     0
     21    -46462.2372     -14696.1183      1     0     0     0
     22    -46462.0275     -14695.6644     1     0     0     0
     23    -46461.8177     -14695.2105     1     0     0     0
     24    -46461.6080     -14694.7567      1     0     0     0
     25    -46461.3982     -14694.3028     1     0     0     0
     26    -46461.1885     -14693.8489     1     0     0     0
     27    -46460.9787     -14693.3950     1     0     0     0
     28    -46460.7690     -14692.9412     1     0     0     0
     29    -46460.5592     -14692.4873     1     0     0     0
     30    -46460.3494     -14692.0334     1     0     0     0
     31    -46460.1397     -14691.5795     1     0     0     0
     32    -46459.9299     -14691.1257     1     0     0     0
     33    -46459.7202     -14690.6718     1     0     0     0
     34    -46459.5104     -14690.2179     1     0     0     0  
     35    -46459.3825     -14689.9411     1     2     0     0
#     Circle                              
                                   
     36     -46459.1418     -14689.2669     1     0     0     1
     37     -46459.0469     -14688.7763     1     0     0     1
     38     -46459.014     -14688.2778     1     0     0     1
     39     -46459.0436     -14687.779     1     0     0     1
     40     -46459.135     -14687.2877     1     0     0     1
     41     -46459.287     -14686.8117     1     0     0     1
     42     -46459.4972     -14686.3584     1     0     0     1
     43     -46459.7622     -14685.9348     1     0     0     1
     44     -46460.078     -14685.5476     1     0     0     1
     45     -46460.4396     -14685.2027     1     0     0     1
     46     -46460.8414     -14684.9057     1     0     0     1
     47     -46461.2771     -14684.661     1     0     0     1
     48     -46461.7399     -14684.4725     1     0     0     1
     49     -46462.2225     -14684.3433     1     0     0     1
     50     -46462.7175     -14684.2752     1     0     0     1
     51     -46463.2172     -14684.2693     1     0     0     1
     52     -46463.7136     -14684.3258     1     0     0     1
     53     -46464.1992     -14684.4438     1     0     0     1
     54     -46464.6663     -14684.6214     1     0     0     1
     55     -46465.1075     -14684.8558     1     0     0     1
     56     -46465.5161     -14685.1434     1     0     0     1
     57     -46465.8857     -14685.4797     1     0     0     1
     58     -46466.2105     -14685.8594     1     0     0     1
     59     -46466.4853     -14686.2767     1     0     0     1
     60     -46466.706     -14686.725     1     0     0     1
     61     -46466.8691     -14687.1973     1     0     0     1
     62     -46466.9721     -14687.6863     1     0     0     1
     63     -46467.0132     -14688.1842     1     0     0     1
     64     -46466.992     -14688.6835     1     0     0     1
     65     -46466.9087     -14689.1761     1     0     0     1
