#     Start     Position                         
#     -46466.4889     -14705.1693     1.1521                    
#     Num.     of     WP                    
     93                            
#     ID     WP_x[m]     WP_y[m]     Velocity[m/s]     CUT_Flag[1:down:2:up]     area_type     gain_id
     1     -46466.4889     -14705.1693     0.2     0     0     0
     2	   -46466.2744     -14704.7176     0.3	 0     0     0
     3	   -46466.06	   -14704.266      0.5     0     0     0
     4     -46465.8455     -14703.8143     0.7     0     0     0
     5     -46465.631      -14703.3626     1     0     0     0
     6     -46465.4166     -14702.911      1     0     0     0
     7     -46465.2021     -14702.4593     1     0     0     0
     8     -46464.9876     -14702.0076     1     0     0     0
     9     -46464.7732     -14701.556      1     0     0     0
     10    -46464.5587     -14701.1043     1     0     0     0
     11    -46464.3442     -14700.6526     1     0     0     0
     12    -46464.1297     -14700.201      1     0     0     0
     13    -46463.9153     -14699.7493     1     0     0     0
     14    -46463.7055     -14699.2954     1     1     0     0
     15    -46463.4958     -14698.8415      1     0     0     0
     16    -46463.2860     -14698.3877     1     0     0     0
     17    -46463.0763     -14697.9338     1     0     0     0
     18    -46462.8665     -14697.4799      1     0     0     0
     19    -46462.6568     -14697.0260     1     0     0     0
     20    -46462.4470      -14696.5722     1     0     0     0
     21    -46462.2372     -14696.1183      1     0     0     0
     22    -46462.0275     -14695.6644     1     0     0     0
     23    -46461.8177     -14695.2105     1     0     0     0
     24    -46461.6080     -14694.7567      1     0     0     0
     25    -46461.3982     -14694.3028     1     0     0     0
     26    -46461.1885     -14693.8489     1     0     0     0
     27    -46460.9787     -14693.3950     1     0     0     0
     28    -46460.7690     -14692.9412     1     0     0     0
     29    -46460.5592     -14692.4873     1     0     0     0
     30    -46460.3494     -14692.0334     1     0     0     0
     31    -46460.1397     -14691.5795     1     0     0     0
     32    -46459.9299     -14691.1257     1     0     0     0
     33    -46459.7202     -14690.6718     1     0     0     0
     34    -46459.5104     -14690.2179     1     0     0     0  
     35     -46459.2959      -14689.7156    1     0      0    0
     36      -46459.0814     -14689.2134     1     0     0     0
     37      -46458.8883     -14688.7522     1     0     0     0
     38      -46458.6951     -14688.291      1     0     0     0
     39      -46458.502      -14687.8299     1     0     0     0
     40      -46458.3088     -14687.3687     1     0     0     0
     41      -46458.1157     -14686.9075     1     0     0     0
     42      -46457.9225     -14686.4463     1     0     0     0
     43      -46457.7293     -14685.9851     1     2     0     0
     44      -46457.5362     -14685.5239     0.7     0     0     0 
     45     -46457.343      -14685.0628     0.5     0     0     0
     46     -46457.1499     -14684.6016     0.3     0     0     0
     47     -46456.9405     -14684.1017     0.2     0     0     0
#	Backward                              
     48     -46457.1499     -14684.6016     -0.2     0     0     0
     49     -46457.343      -14685.0628     -0.3     0     0     0
     50     -46457.5362     -14685.5239     -0.5     0     0     0
     51     -46457.7293     -14685.9851     -0.7     0     0     0
     52     -46457.9225     -14686.4463     -1     0     0     0
     53     -46458.1157     -14686.9075     -1     0     0     0
     54     -46458.3088     -14687.3687     -1     0     0     0
     55     -46458.502      -14687.8299     -1     0     0     0
     56     -46458.6951     -14688.291      -1     0     0     0
     57     -46458.8883     -14688.7522     -1     0     0     0
     58     -46459.0814     -14689.2134     -1     0     0     0
     59     -46459.2959     -14689.7156     -1     0     0     0
     60     -46459.5104     -14690.2179     -1     0     0     0 
     61     -46459.7202     -14690.6718     -1     0     0     0
     62     -46459.9299     -14691.1257     -1     0     0     0
     63    -46460.1397     -14691.5795     -1     0     0     0
     64    -46460.3494     -14692.0334     -1     0     0     0
     65    -46460.5592     -14692.4873     -1     0     0     0
     66    -46460.7690     -14692.9412     -1     0     0     0
     67    -46460.9787     -14693.3950     -1     0     0     0
     68    -46461.1885     -14693.8489     -1     0     0     0
     69    -46461.3982     -14694.3028     -1     0     0     0
     70    -46461.6080     -14694.7567     -1     0     0     0
     71    -46461.8177     -14695.2105     -1     0     0     0
     72    -46462.0275     -14695.6644     -1     0     0     0
     73    -46462.2372     -14696.1183     -1     0     0     0
     74    -46462.4470     -14696.5722     -1     0     0     0
     75    -46462.6568     -14697.0260     -1     0     0     0
     76   -46462.8665     -14697.4799     -1     0     0     0
     77    -46463.0763     -14697.9338     -1     0     0     0
     78    -46463.2860     -14698.3877     -1     0     0     0
     79    -46463.4958     -14698.8415     -1     0     0     0
     80    -46463.7055     -14699.2954     -1     0     0     0
     81    -46463.9153     -14699.7493     -1     0     0     0
     82    -46464.1297     -14700.201      -1     0     0     0
     83    -46464.3442     -14700.6526     -1     0     0     0
     84    -46464.5587     -14701.1043     -1     0     0     0
     85     -46464.7732     -14701.556      -1     0     0     0
     86     -46464.9876     -14702.0076     -1     0     0     0
     87     -46465.2021     -14702.4593     -1     0     0     0
     88     -46465.4166     -14702.911      -1     0     0     0
     89     -46465.631      -14703.3626     -1     0     0     0
     90     -46465.8455     -14703.8143     -0.7     0     0     0
     91     -46466.06	      -14704.266      -0.5     0     0     0
     92     -46466.2744     -14704.7176     -0.3	 0     0     0
     93     -46466.4889     -14705.1693     -0.2     0     0     0
